Date,Median wait (weeks),92nd percentile (weeks),No. within 18 weeks,% within 18 weeks,No. > 18 weeks,No. > 52 weeks,% > 52 weeks,Total waiting (mil),No. of new RTT periods,ENGLAND COVID-19 related beds,East of England COVID-19 related beds,London COVID-19 related beds,Midlands COVID-19 related beds,North East and Yorkshire COVID-19 related beds,North West COVID-19 related beds,South East COVID-19 related beds,South West COVID-19 related beds,ENGLAND COVID-19 related absences of staff,East of England COVID-19 related absences of staff,London COVID-19 related absences of staff,Midlands COVID-19 related absences of staff,North East and Yorkshire COVID-19 related absences of staff,North West COVID-19 related absences of staff,South East COVID-19 related absences of staff,South West COVID-19 related absences of staff
29/02/2020,7.5,24.7,"3,680,309",83.20%,"744,997","1,613",0.00%,4.43,"1,603,378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/03/2020,8.9,26.5,"3,375,661",79.70%,"860,309","3,097",0.10%,4.24,"1,220,636",11154,793,4073,1952,1124,1143,1535,,98905,10026,18646,22414,13776,14337,11369,8337
30/04/2020,12.2,30.7,"2,812,999",71.30%,"1,134,062","11,179",0.30%,3.95,"491,101",12922,1253,2703,2308,1985,2309,1655,,76952,7641,11766,16731,12019,13530,9037,6228
31/05/2020,15.3,34.4,"2,392,303",62.20%,"1,453,700","26,717",0.70%,3.85,"626,540",5933,597,891,1252,917,1309,700,,52043,4944,6784,11164,8729,9809,6485,4128
30/06/2020,17.6,37.4,"2,005,831",52.00%,"1,854,246","50,539",1.30%,3.86,"939,450",2665,264,386,631,412,619,282,,38839,3547,5044,7891,6981,7836,4507,3033
31/07/2020,19.6,40,"1,895,264",46.80%,"2,151,443","83,203",2.10%,4.05,"1,178,528",870,77,128,199,117,195,132,,28404,2629,3355,6355,5536,5511,2732,2286
31/08/2020,14.8,42.1,"2,260,431",53.60%,"1,959,684","111,026",2.60%,4.22,"1,114,414",495,31,81,127,82,114,42,,11952,848,1505,2874,2169,2664,976,916
30/09/2020,12,43.7,"2,638,278",60.60%,"1,716,606","139,545",3.20%,4.35,"1,332,834",2036,86,278,374,474,686,103,,19493,1292,1947,4270,3832,5142,1766,1244
31/10/2020,11.1,44.8,"2,911,270",65.40%,"1,537,587","167,067",3.80%,4.45,"1,393,861",9782,505,963,2010,2482,2752,617,,25154,1634,2221,5882,4912,6720,1912,1873
30/11/2020,10.4,45.1,"3,040,809",68.20%,"1,419,903","192,169",4.30%,4.46,"1,348,049",13756,991,1677,3130,2876,2572,1494,,35474,2761,3412,9034,7122,6160,3949,3036
31/12/2020,11.2,47.4,"3,067,658",67.80%,"1,453,675","224,205",5.00%,4.52,"1,260,501",22728,2788,5685,3944,2562,2550,4022,,38080,4895,6146,7561,5244,5106,6486,2642
31/01/2021,12.1,50.1,"3,038,370",66.20%,"1,554,305","304,044",6.60%,4.59,"1,185,074",28112,3393,5654,5586,3506,3834,4213,,42325,4444,5505,9862,6770,6958,5300,3486
28/02/2021,12.6,52+,"3,030,448",64.50%,"1,667,900","387,885",8.30%,4.7,"1,253,853",10663,1113,1828,2483,1747,1602,1413,,28066,2554,3386,6940,5305,4272,3487,2122
31/03/2021,11.6,52+,"3,186,952",64.40%,"1,763,345","436,127",8.80%,4.95,"1,614,201",3084,237,689,631,514,591,309,,20191,1579,2471,5463,4096,3298,1674,1610
30/04/2021,11,48.7,"3,310,118",64.60%,"1,811,899","385,490",7.50%,5.12,"1,495,260",1161,121,315,218,170,188,105,44,7742,679,756,2040,1488,1309,802,668
31/05/2021,10.8,45.3,"3,575,868",67.40%,"1,728,981","336,733",6.30%,5.3,"1,514,939",773,51,234,133,98,184,58,15,6476,447,670,1605,1220,1488,554,492
30/06/2021,10.4,44.2,"3,750,116",68.80%,"1,704,198","304,803",5.60%,5.45,"1,676,342",1500,83,314,226,222,489,85,81,13771,945,1341,2499,3398,2956,1395,1237
31/07/2021,10.9,43.8,"3,827,358",68.30%,"1,779,366","293,102",5.20%,5.61,"1,604,888",5057,416,1034,901,1112,828,450,316,17549,1222,1686,4154,4085,2872,1817,1713
31/08/2021,11.5,44.4,"3,865,241",67.60%,"1,850,457","292,138",5.10%,5.72,"1,469,370",6002,521,1192,1210,1104,903,612,460,14673,1084,1404,3493,3124,2344,1517,1707
30/09/2021,11.9,44.5,"3,879,810",66.50%,"1,954,611","300,566",5.20%,5.83,"1,626,514",4916,373,948,965,1055,793,437,345,16122,1300,1353,4162,3356,2628,1649,1674
31/10/2021,,,,,,,,,,7311,714,1067,1370,1543,1128,822,667,13697,1214,1041,3393,2763,2289,1374,1623
